epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,1128.95,0.53913,0.41757,1.00161,0.96983,0.91403,0.96744,0.84558,0.57952,0.38457,1.02818,0.000272375,0.000272375,0.000272375
81,1142.76,0.52887,0.39529,1.00123,0.97883,0.92529,0.96784,0.84509,0.57953,0.38193,1.04408,0.00026,0.00026,0.00026
82,1156.5,0.51893,0.39934,0.99338,0.97258,0.92324,0.96883,0.84899,0.56908,0.37076,1.03918,0.000247625,0.000247625,0.000247625
83,1170.84,0.52987,0.39678,1.00109,0.97112,0.93847,0.97205,0.83835,0.6071,0.37464,1.06825,0.00023525,0.00023525,0.00023525
84,1184.93,0.52012,0.39386,0.99961,0.96794,0.94072,0.9703,0.85028,0.5769,0.37548,1.03816,0.000222875,0.000222875,0.000222875
85,1198.89,0.51078,0.38028,0.99234,0.96944,0.92888,0.9685,0.84558,0.58529,0.36754,1.05774,0.0002105,0.0002105,0.0002105
86,1213.15,0.50519,0.3812,0.98895,0.97167,0.92754,0.96741,0.84432,0.57252,0.36647,1.03812,0.000198125,0.000198125,0.000198125
87,1226.97,0.49913,0.37339,0.98712,0.96683,0.94861,0.97476,0.85026,0.57604,0.35916,1.03245,0.00018575,0.00018575,0.00018575
88,1240.89,0.50308,0.38177,0.99134,0.94772,0.9339,0.96969,0.85162,0.56776,0.3856,1.02784,0.000173375,0.000173375,0.000173375
89,1254.62,0.50664,0.37605,0.98703,0.96927,0.92682,0.96791,0.8501,0.56853,0.37392,1.03588,0.000161,0.000161,0.000161
90,1268.37,0.49667,0.37437,0.99342,0.96778,0.93642,0.96856,0.85655,0.54759,0.36319,1.01493,0.000148625,0.000148625,0.000148625
91,1311.82,0.41341,0.29525,0.91466,0.96536,0.9462,0.96856,0.84859,0.55507,0.37755,1.02323,0.00013625,0.00013625,0.00013625
92,1325.09,0.38785,0.26371,0.89153,0.96844,0.93061,0.96968,0.85099,0.56586,0.37698,1.04142,0.000123875,0.000123875,0.000123875
93,1338.52,0.38599,0.25779,0.88879,0.97177,0.94012,0.96894,0.8534,0.55647,0.35547,1.02972,0.0001115,0.0001115,0.0001115
94,1352.1,0.38531,0.25514,0.88736,0.96089,0.94739,0.97045,0.85076,0.55471,0.3484,1.02808,9.9125e-05,9.9125e-05,9.9125e-05
95,1365.64,0.37823,0.24891,0.89206,0.95747,0.94987,0.97138,0.84961,0.55729,0.36546,1.02861,8.675e-05,8.675e-05,8.675e-05
96,1378.95,0.3722,0.24374,0.88703,0.97487,0.92207,0.97101,0.84954,0.57078,0.36381,1.03773,7.4375e-05,7.4375e-05,7.4375e-05
97,1392.41,0.37914,0.24727,0.89389,0.96858,0.93141,0.97123,0.85431,0.56381,0.36419,1.02959,6.2e-05,6.2e-05,6.2e-05
98,1405.92,0.37325,0.24768,0.88151,0.9548,0.94438,0.96901,0.85263,0.56699,0.35838,1.03667,4.9625e-05,4.9625e-05,4.9625e-05
99,1419.45,0.36711,0.24239,0.88977,0.9659,0.94171,0.96945,0.8509,0.55909,0.35839,1.03092,3.725e-05,3.725e-05,3.725e-05
100,1433,0.36557,0.2425,0.87696,0.96416,0.94219,0.96899,0.85397,0.55174,0.3537,1.02483,2.4875e-05,2.4875e-05,2.4875e-05
